language	term	usage	original	wordsense	raw_freq
RU-RU	содействовать	Negativterm	содействовать	0	24
RU-RU	помогать	Negativterm	помогать	0	21

EN-US	protect	Vorzugsterm	protect	-1	-1
RU-RU	защищать	Vorzugsterm	защищать	0	674
RU-RU	охранять	Negativterm	охранять	0	14
RU-RU	ограждать	Negativterm	ограждать	0	5
RU-RU	беречь	Negativterm	беречь	0	1

EN-US	arm	Vorzugsterm	arm	-1	-1
RU-RU	оружие	Vorzugsterm	оружие	2	220
RU-RU	вооружение	Negativterm	вооружение	2	177

EN-US	crime	Vorzugsterm	crime	-1	-1
RU-RU	преступление	Vorzugsterm	преступление	0	373
RU-RU	злодеяние	Negativterm	злодеяние	0	1

EN-US	weapon	Vorzugsterm	weapon	-1	-1
RU-RU	оружие	Vorzugsterm	оружие	2	1065
RU-RU	вооружение	Negativterm	вооружение	2	101

EN-US	extremely	Vorzugsterm	extremely	-1	-1
RU-RU	чрезвычайно	Vorzugsterm	чрезвычайно	0	118
RU-RU	крайне	Negativterm	крайне	0	68
RU-RU	очень	Negativterm	очень	0	39
RU-RU	весьма	Negativterm	весьма	0	6

EN-US	incident	Vorzugsterm	incident	-1	-1
RU-RU	инцидент	Vorzugsterm	инцидент	0	91
RU-RU	происшествие	Negativterm	происшествие	0	14

EN-US	policeman	Vorzugsterm	policeman	-1	-1
RU-RU	полицейский	Vorzugsterm	полицейский	0	40
RU-RU	милиционер	Negativterm	милиционер	0	2

EN-US	idea	Vorzugsterm	idea	-1	-1
RU-RU	идея	Vorzugsterm	идея	0	1234
RU-RU	мысль	Negativterm	мысль	0	16
RU-RU	понятие	Negativterm	понятие	0	13
RU-RU	концепция	Negativterm	концепция	0	5

EN-US	organization	Vorzugsterm	organization	-1	-1
RU-RU	организация	Vorzugsterm	организация	1	1150
RU-RU	структура	Negativterm	структура	1	4

EN-US	criminal	Vorzugsterm	criminal	-1	-1
RU-RU	уголовный	Vorzugsterm	уголовный	0	171
RU-RU	преступный	Negativterm	преступный	0	49
RU-RU	криминальный	Negativterm	криминальный	0	47

EN-US	steal	Vorzugsterm	steal	-1	-1
RU-RU	красть	Vorzugsterm	красть	1	9
RU-RU	похищать	Negativterm	похищать	1	8
RU-RU	воровать	Negativterm	воровать	1	7

EN-US	employee	Vorzugsterm	employee	-1	-1
RU-RU	сотрудник	Vorzugsterm	сотрудник	1	106
RU-RU	работник	Negativterm	работник	1	83

EN-US	factory	Vorzugsterm	factory	-1	-1
RU-RU	фабрика	Vorzugsterm	фабрика	0	60
RU-RU	завод	Negativterm	завод	0	56

EN-US	expert	Vorzugsterm	expert	-1	-1
RU-RU	эксперт	Vorzugsterm	эксперт	0	431
RU-RU	специалист	Negativterm	специалист	0	36
RU-RU	мастер	Negativterm	мастер	0	4

EN-US	poor	Vorzugsterm	poor	-1	-1
RU-RU	бедный	Vorzugsterm	бедный	0	1536
RU-RU	малоимущий	Negativterm	малоимущий	0	14
RU-RU	малообеспеченный	Negativterm	малообеспеченный	0	7
RU-RU	нищий	Negativterm	нищий	0	5
RU-RU	неимущий	Negativterm	неимущий	0	3

EN-US	analysis	Vorzugsterm	analysis	-1	-1
RU-RU	анализ	Vorzugsterm	анализ	0	273
RU-RU	исследование	Negativterm	исследование	0	14

EN-US	purchase	Vorzugsterm	purchase	-1	-1
RU-RU	покупка	Vorzugsterm	покупка	1	171
RU-RU	приобретение	Negativterm	приобретение	1	43

EN-US	merchant	Vorzugsterm	merchant	-1	-1
RU-RU	торговец	Vorzugsterm	торговец	0	12
RU-RU	купец	Negativterm	купец	0	7

EN-US	friend	Vorzugsterm	friend	-1	-1
RU-RU	друг	Vorzugsterm	друг	3	444
RU-RU	знакомый	Negativterm	знакомый	3	3

EN-US	formula	Vorzugsterm	formula	-1	-1
RU-RU	формула	Vorzugsterm	формула	2	102
RU-RU	формулировка	Negativterm	формулировка	2	7

EN-US	picture	Vorzugsterm	picture	-1	-1
RU-RU	картина	Vorzugsterm	картина	4	117
RU-RU	фильм	Negativterm	фильм	4	1

EN-US	client	Vorzugsterm	client	-1	-1
RU-RU	клиент	Vorzugsterm	клиент	0	91
RU-RU	заказчик	Negativterm	заказчик	0	5

EN-US	target	Vorzugsterm	target	-1	-1
RU-RU	цель	Vorzugsterm	цель	0	337
RU-RU	задача	Negativterm	задача	0	28

EN-US	purpose	Vorzugsterm	purpose	-1	-1
RU-RU	цель	Vorzugsterm	цель	0	306
RU-RU	задача	Negativterm	задача	0	12

EN-US	personal	Vorzugsterm	personal	-1	-1
RU-RU	личный	Vorzugsterm	личный	1	381
RU-RU	персональный	Negativterm	персональный	1	80

EN-US	minor	Vorzugsterm	minor	-1	-1
RU-RU	незначительный	Vorzugsterm	незначительный	1	54
RU-RU	небольшой	Negativterm	небольшой	1	18
RU-RU	малый	Negativterm	малый	1	4

EN-US	name	Vorzugsterm	name	-1	-1
RU-RU	имя	Vorzugsterm	имя	0	209
RU-RU	название	Negativterm	название	0	93

EN-US	response	Vorzugsterm	response	-1	-1
RU-RU	ответ	Vorzugsterm	ответ	1	248
RU-RU	реакция	Negativterm	реакция	1	145

EN-US	hide	Vorzugsterm	hide	-1	-1
RU-RU	скрывать	Vorzugsterm	скрывать	1	116
RU-RU	прятать	Negativterm	прятать	1	13

EN-US	management	Vorzugsterm	management	-1	-1
RU-RU	управление	Vorzugsterm	управление	1	411
RU-RU	руководство	Negativterm	руководство	1	37

EN-US	device	Vorzugsterm	device	-1	-1
RU-RU	устройство	Vorzugsterm	устройство	0	79
RU-RU	инструмент	Negativterm	инструмент	0	6
RU-RU	приспособление	Negativterm	приспособление	0	2
RU-RU	девайс	Negativterm	девайс	0	1

EN-US	teenager	Vorzugsterm	teenager	-1	-1
RU-RU	подросток	Vorzugsterm	подросток	1	55
RU-RU	мальчик	Negativterm	мальчик	1	1
RU-RU	юноша	Negativterm	юноша	1	1

EN-US	salary	Vorzugsterm	salary	-1	-1
RU-RU	зарплата	Vorzugsterm	зарплата	0	96
RU-RU	оклад	Negativterm	оклад	0	1

EN-US	movement	Vorzugsterm	movement	-1	-1
RU-RU	движение	Vorzugsterm	движение	0	893
RU-RU	передвижение	Negativterm	передвижение	0	67
RU-RU	перемещение	Negativterm	перемещение	0	44

EN-US	together	Vorzugsterm	together	-1	-1
RU-RU	вместе	Vorzugsterm	вместе	0	526
RU-RU	совместно	Negativterm	совместно	0	58
RU-RU	сообща	Negativterm	сообща	0	10

EN-US	typical	Vorzugsterm	typical	-1	-1
RU-RU	типичный	Vorzugsterm	типичный	0	75
RU-RU	характерный	Negativterm	характерный	0	4

EN-US	object	Vorzugsterm	object	-1	-1
RU-RU	объект	Vorzugsterm	объект	0	61
RU-RU	предмет	Negativterm	предмет	0	17

EN-US	portion	Vorzugsterm	portion	-1	-1
RU-RU	часть	Vorzugsterm	часть	2	65
RU-RU	доля	Negativterm	доля	2	8
RU-RU	порция	Negativterm	порция	2	5

EN-US	honest	Vorzugsterm	honest	-1	-1
RU-RU	честный	Vorzugsterm	честный	9	101
RU-RU	правдивый	Negativterm	правдивый	9	2
RU-RU	искренний	Negativterm	искренний	9	2

EN-US	complain	Vorzugsterm	complain	-1	-1
RU-RU	жаловаться	Vorzugsterm	жаловаться	1	74
RU-RU	сетовать	Negativterm	сетовать	1	3

EN-US	creation	Vorzugsterm	creation	-1	-1
RU-RU	создание	Vorzugsterm	создание	2	430
RU-RU	творение	Negativterm	творение	2	23
RU-RU	созидание	Negativterm	созидание	2	2

EN-US	prominent	Vorzugsterm	prominent	-1	-1
RU-RU	известный	Vorzugsterm	известный	3	55
RU-RU	знаменитый	Negativterm	знаменитый	3	3

EN-US	fair	Vorzugsterm	fair	-1	-1
RU-RU	справедливый	Vorzugsterm	справедливый	1	273
RU-RU	беспристрастный	Negativterm	беспристрастный	1	2

EN-US	primarily	Vorzugsterm	primarily	-1	-1
RU-RU	основной	Vorzugsterm	основной	0	20
RU-RU	главный	Negativterm	главный	0	3

EN-US	conference	Vorzugsterm	conference	-1	-1
RU-RU	конференция	Vorzugsterm	конференция	0	409
RU-RU	совещание	Negativterm	совещание	0	7

EN-US	conversation	Vorzugsterm	conversation	-1	-1
RU-RU	разговор	Vorzugsterm	разговор	0	68
RU-RU	беседа	Negativterm	беседа	0	25
RU-RU	диалог	Negativterm	диалог	0	4

EN-US	air	Vorzugsterm	air	-1	-1
RU-RU	воздух	Vorzugsterm	воздух	0	228
RU-RU	атмосфера	Negativterm	атмосфера	0	5

EN-US	machine	Vorzugsterm	machine	-1	-1
RU-RU	машина	Vorzugsterm	машина	0	156
RU-RU	аппарат	Negativterm	аппарат	0	8

EN-US	flat	Vorzugsterm	flat	-1	-1
RU-RU	плоский	Vorzugsterm	плоский	0	18
RU-RU	ровный	Negativterm	ровный	0	3
RU-RU	гладкий	Negativterm	гладкий	0	2

EN-US	display	Vorzugsterm	display	-1	-1
RU-RU	демонстрировать	Vorzugsterm	демонстрировать	0	21
RU-RU	показывать	Negativterm	показывать	0	10
RU-RU	выставлять	Negativterm	выставлять	0	4

EN-US	let	Vorzugsterm	let	-1	-1
RU-RU	позволять	Vorzugsterm	позволять	0	198
RU-RU	разрешать	Negativterm	разрешать	0	10

EN-US	stupid	Vorzugsterm	stupid	-1	-1
RU-RU	глупый	Vorzugsterm	глупый	1	28
RU-RU	тупой	Negativterm	тупой	1	1

EN-US	helmet	Vorzugsterm	helmet	-1	-1
RU-RU	шлем	Vorzugsterm	шлем	0	5
RU-RU	каска	Negativterm	каска	0	3

EN-US	cannot	Vorzugsterm	cannot	-1	-1
RU-RU	нельзя	Vorzugsterm	нельзя	0	317
RU-RU	невозможно	Negativterm	невозможно	0	102

EN-US	muscle	Vorzugsterm	muscle	-1	-1
RU-RU	мускул	Vorzugsterm	мускул	0	17
RU-RU	мышца	Negativterm	мышца	0	16

EN-US	size	Vorzugsterm	size	-1	-1
RU-RU	размер	Vorzugsterm	размер	2	332
RU-RU	величина	Negativterm	величина	2	3

EN-US	watch	Vorzugsterm	watch	-1	-1
RU-RU	смотреть	Vorzugsterm	смотреть	1	72
RU-RU	видеть	Negativterm	видеть	1	7

EN-US	adapt	Vorzugsterm	adapt	-1	-1
RU-RU	адаптироваться	Vorzugsterm	адаптироваться	1	21
RU-RU	приспосабливаться	Negativterm	приспосабливаться	1	11

EN-US	mainly	Vorzugsterm	mainly	-1	-1
RU-RU	основной	Vorzugsterm	основной	0	72
RU-RU	главный	Negativterm	главный	0	1

EN-US	quality	Vorzugsterm	quality	-1	-1
RU-RU	качество	Vorzugsterm	качество	3	506
RU-RU	свойство	Negativterm	свойство	3	4

EN-US	delay	Vorzugsterm	delay	-1	-1
RU-RU	задержка	Vorzugsterm	задержка	1	79
RU-RU	промедление	Negativterm	промедление	1	24

EN-US	indicator	Vorzugsterm	indicator	-1	-1
RU-RU	показатель	Vorzugsterm	показатель	2	115
RU-RU	индекс	Negativterm	индекс	2	4

EN-US	cool	Vorzugsterm	cool	-1	-1
RU-RU	охлаждать	Vorzugsterm	охлаждать	0	14
RU-RU	остужать	Negativterm	остужать	0	1

EN-US	answer	Vorzugsterm	answer	-1	-1
RU-RU	ответ	Vorzugsterm	ответ	2	369
RU-RU	решение	Negativterm	решение	2	21

EN-US	probably	Vorzugsterm	probably	-1	-1
RU-RU	вероятно	Vorzugsterm	вероятно	0	120
RU-RU	возможно	Negativterm	возможно	0	74
RU-RU	пожалуй	Negativterm	пожалуй	0	1

EN-US	weak	Vorzugsterm	weak	-1	-1
RU-RU	слабый	Vorzugsterm	слабый	3	647
RU-RU	плохой	Negativterm	плохой	3	7

EN-US	concept	Vorzugsterm	concept	-1	-1
RU-RU	концепция	Vorzugsterm	концепция	0	216
RU-RU	понятие	Negativterm	понятие	0	103
RU-RU	идея	Negativterm	идея	0	16
RU-RU	концепт	Negativterm	концепт	0	4

EN-US	move	Vorzugsterm	move	-1	-1
RU-RU	двигаться	Vorzugsterm	двигаться	0	206
RU-RU	перемещаться	Negativterm	перемещаться	0	54
RU-RU	передвигаться	Negativterm	передвигаться	0	7

EN-US	giant	Vorzugsterm	giant	-1	-1
RU-RU	гигант	Vorzugsterm	гигант	2	150
RU-RU	великан	Negativterm	великан	2	2

EN-US	whole	Vorzugsterm	whole	-1	-1
RU-RU	весь	Vorzugsterm	весь	1	211
RU-RU	целый	Negativterm	целый	1	61

EN-US	purely	Vorzugsterm	purely	-1	-1
RU-RU	чисто	Vorzugsterm	чисто	2	55
RU-RU	сугубо	Negativterm	сугубо	2	2

EN-US	creator	Vorzugsterm	creator	-1	-1
RU-RU	создатель	Vorzugsterm	создатель	0	27
RU-RU	творец	Negativterm	творец	0	4

EN-US	spirit	Vorzugsterm	spirit	-1	-1
RU-RU	дух	Vorzugsterm	дух	5	192
RU-RU	душа	Negativterm	душа	5	3

EN-US	cause	Vorzugsterm	cause	-1	-1
RU-RU	вызывать	Vorzugsterm	вызывать	0	526
RU-RU	порождать	Negativterm	порождать	0	5

EN-US	realise	Vorzugsterm	realise	-1	-1
RU-RU	понимать	Vorzugsterm	понимать	0	6
RU-RU	осознавать	Negativterm	осознавать	0	4

EN-US	clear	Vorzugsterm	clear	-1	-1
RU-RU	ясный	Vorzugsterm	ясный	1	260
RU-RU	очевидный	Negativterm	очевидный	1	181
RU-RU	явный	Negativterm	явный	1	105
RU-RU	понятный	Negativterm	понятный	1	49
RU-RU	простой	Negativterm	простой	1	6
RU-RU	несомненный	Negativterm	несомненный	1	3
RU-RU	наглядный	Negativterm	наглядный	1	1

EN-US	unite	Vorzugsterm	unite	-1	-1
RU-RU	объединять	Vorzugsterm	объединять	1	351
RU-RU	соединять	Negativterm	соединять	1	184

EN-US	century	Vorzugsterm	century	-1	-1
RU-RU	век	Vorzugsterm	век	0	1271
RU-RU	столетие	Negativterm	столетие	0	438

EN-US	relevance	Vorzugsterm	relevance	-1	-1
RU-RU	значимость	Vorzugsterm	значимость	0	14
RU-RU	значение	Negativterm	значение	0	9
RU-RU	важность	Negativterm	важность	0	4

EN-US	exhibit	Vorzugsterm	exhibit	-1	-1
RU-RU	демонстрировать	Vorzugsterm	демонстрировать	0	10
RU-RU	показывать	Negativterm	показывать	0	4

EN-US	betray	Vorzugsterm	betray	-1	-1
RU-RU	предавать	Vorzugsterm	предавать	0	39
RU-RU	изменять	Negativterm	изменять	0	3

EN-US	thin	Vorzugsterm	thin	-1	-1
RU-RU	тонкий	Vorzugsterm	тонкий	1	17
RU-RU	худой	Negativterm	худой	1	3

EN-US	birth	Vorzugsterm	birth	-1	-1
RU-RU	рождение	Vorzugsterm	рождение	0	70
RU-RU	роды	Negativterm	роды	0	6

EN-US	danger	Vorzugsterm	danger	-1	-1
RU-RU	опасность	Vorzugsterm	опасность	0	378
RU-RU	угроза	Negativterm	угроза	0	81

EN-US	choice	Vorzugsterm	choice	-1	-1
RU-RU	выбор	Vorzugsterm	выбор	0	568
RU-RU	решение	Negativterm	решение	0	59

EN-US	embryo	Vorzugsterm	embryo	-1	-1
RU-RU	эмбрион	Vorzugsterm	эмбрион	0	34
RU-RU	зародыш	Negativterm	зародыш	0	2

EN-US	impossible	Vorzugsterm	impossible	-1	-1
RU-RU	невозможно	Vorzugsterm	невозможно	0	186
RU-RU	нельзя	Negativterm	нельзя	0	12

EN-US	animal	Vorzugsterm	animal	-1	-1
RU-RU	животное	Vorzugsterm	животное	1	211
RU-RU	скот	Negativterm	скот	1	7

EN-US	valuable	Vorzugsterm	valuable	-1	-1
RU-RU	ценный	Vorzugsterm	ценный	0	139
RU-RU	драгоценный	Negativterm	драгоценный	0	1

EN-US	daughter	Vorzugsterm	daughter	-1	-1
RU-RU	дочь	Vorzugsterm	дочь	0	102
RU-RU	дочка	Negativterm	дочка	0	2

EN-US	father	Vorzugsterm	father	-1	-1
RU-RU	отец	Vorzugsterm	отец	1	313
RU-RU	папа	Negativterm	папа	1	5

EN-US	infant	Vorzugsterm	infant	-1	-1
RU-RU	младенец	Vorzugsterm	младенец	0	23
RU-RU	малыш	Negativterm	малыш	0	3

EN-US	natural	Vorzugsterm	natural	-1	-1
RU-RU	природный	Vorzugsterm	природный	2	465
RU-RU	естественный	Negativterm	естественный	2	294
RU-RU	натуральный	Negativterm	натуральный	2	11

EN-US	ship	Vorzugsterm	ship	-1	-1
RU-RU	корабль	Vorzugsterm	корабль	2	74
RU-RU	судно	Negativterm	судно	2	18

EN-US	perfect	Vorzugsterm	perfect	-1	-1
RU-RU	идеальный	Vorzugsterm	идеальный	2	68
RU-RU	совершенный	Negativterm	совершенный	2	33
RU-RU	безупречный	Negativterm	безупречный	2	9

EN-US	conclusion	Vorzugsterm	conclusion	-1	-1
RU-RU	вывод	Vorzugsterm	вывод	0	94
RU-RU	заключение	Negativterm	заключение	0	58
RU-RU	завершение	Negativterm	завершение	0	20
RU-RU	исход	Negativterm	исход	0	1

EN-US	german	Vorzugsterm	german	-1	-1
RU-RU	немецкий	Vorzugsterm	немецкий	0	716
RU-RU	германский	Negativterm	германский	0	56

EN-US	improper	Vorzugsterm	improper	-1	-1
RU-RU	неправильный	Vorzugsterm	неправильный	3	2
RU-RU	ошибочный	Negativterm	ошибочный	3	1

EN-US	enforce	Vorzugsterm	enforce	-1	-1
RU-RU	применять	Vorzugsterm	применять	0	14
RU-RU	использовать	Negativterm	использовать	0	2

EN-US	joint	Vorzugsterm	joint	-1	-1
RU-RU	совместный	Vorzugsterm	совместный	0	236
RU-RU	общий	Negativterm	общий	0	12

EN-US	germany	Vorzugsterm	germany	-1	-1
RU-RU	немецкий	Vorzugsterm	немецкий	0	69
RU-RU	германский	Negativterm	германский	0	17

EN-US	boundary	Vorzugsterm	boundary	-1	-1
RU-RU	граница	Vorzugsterm	граница	0	117
RU-RU	предел	Negativterm	предел	0	4

EN-US	office	Vorzugsterm	office	-1	-1
RU-RU	офис	Vorzugsterm	офис	0	105
RU-RU	бюро	Negativterm	бюро	0	18
RU-RU	учреждение	Negativterm	учреждение	0	12

EN-US	similarly	Vorzugsterm	similarly	-1	-1
RU-RU	также	Vorzugsterm	также	0	69
RU-RU	тоже	Negativterm	тоже	0	6

EN-US	regional	Vorzugsterm	regional	-1	-1
RU-RU	региональный	Vorzugsterm	региональный	0	1362
RU-RU	областной	Negativterm	областной	0	17

EN-US	straightforward	Vorzugsterm	straightforward	-1	-1
RU-RU	простой	Vorzugsterm	простой	0	38
RU-RU	очевидный	Negativterm	очевидный	0	5
RU-RU	откровенный	Negativterm	откровенный	0	4
RU-RU	понятный	Negativterm	понятный	0	4
RU-RU	ясный	Negativterm	ясный	0	2

EN-US	enforcement	Vorzugsterm	enforcement	-1	-1
RU-RU	исполнение	Vorzugsterm	исполнение	0	14
RU-RU	выполнение	Negativterm	выполнение	0	4

EN-US	quite	Vorzugsterm	quite	-1	-1
RU-RU	довольно	Vorzugsterm	довольно	2	59
RU-RU	достаточно	Negativterm	достаточно	2	21

EN-US	decision	Vorzugsterm	decision	-1	-1
RU-RU	решение	Vorzugsterm	решение	0	1114
RU-RU	выбор	Negativterm	выбор	0	3

EN-US	pressure	Vorzugsterm	pressure	-1	-1
RU-RU	давление	Vorzugsterm	давление	0	687
RU-RU	нажим	Negativterm	нажим	0	1

EN-US	mostly	Vorzugsterm	mostly	-1	-1
RU-RU	основной	Vorzugsterm	основной	0	55
RU-RU	главный	Negativterm	главный	0	3

EN-US	region	Vorzugsterm	region	-1	-1
RU-RU	регион	Vorzugsterm	регион	0	2681
RU-RU	область	Negativterm	область	0	95

EN-US	location	Vorzugsterm	location	-1	-1
RU-RU	место	Vorzugsterm	место	0	49
RU-RU	местоположение	Negativterm	местоположение	0	14
RU-RU	положение	Negativterm	положение	0	10

EN-US	wet	Vorzugsterm	wet	-1	-1
RU-RU	мокрый	Vorzugsterm	мокрый	0	3
RU-RU	влажный	Negativterm	влажный	0	2

EN-US	beware	Vorzugsterm	beware	-1	-1
RU-RU	опасаться	Vorzugsterm	опасаться	0	2
RU-RU	бояться	Negativterm	бояться	0	1

EN-US	besides	Vorzugsterm	besides	-1	-1
RU-RU	помимо	Vorzugsterm	помимо	0	25
RU-RU	кроме	Negativterm	кроме	0	9

EN-US	beforehand	Vorzugsterm	beforehand	-1	-1
RU-RU	заранее	Vorzugsterm	заранее	0	3
RU-RU	заблаговременно	Negativterm	заблаговременно	0	1

EN-US	personality	Vorzugsterm	personality	-1	-1
RU-RU	личность	Vorzugsterm	личность	0	65
RU-RU	индивидуальность	Negativterm	индивидуальность	0	5

EN-US	perform	Vorzugsterm	perform	-1	-1
RU-RU	выполнять	Vorzugsterm	выполнять	1	42
RU-RU	делать	Negativterm	делать	1	10
RU-RU	осуществлять	Negativterm	осуществлять	1	6
RU-RU	исполнять	Negativterm	исполнять	1	5

EN-US	journey	Vorzugsterm	journey	-1	-1
RU-RU	путешествие	Vorzugsterm	путешествие	0	30
RU-RU	поездка	Negativterm	поездка	0	8
RU-RU	дорога	Negativterm	дорога	0	4

EN-US	occasion	Vorzugsterm	occasion	-1	-1
RU-RU	повод	Vorzugsterm	повод	0	16
RU-RU	основание	Negativterm	основание	0	1

EN-US	function	Vorzugsterm	function	-1	-1
RU-RU	функция	Vorzugsterm	функция	3	163
RU-RU	роль	Negativterm	роль	3	6

EN-US	travel	Vorzugsterm	travel	-1	-1
RU-RU	путешествие	Vorzugsterm	путешествие	0	35
RU-RU	поездка	Negativterm	поездка	0	23

EN-US	true	Vorzugsterm	true	-1	-1
RU-RU	истинный	Vorzugsterm	истинный	1	191
RU-RU	настоящий	Negativterm	настоящий	1	98
RU-RU	подлинный	Negativterm	подлинный	1	35
RU-RU	действительный	Negativterm	действительный	1	7

EN-US	proactive	Vorzugsterm	proactive	-1	-1
RU-RU	активный	Vorzugsterm	активный	0	22
RU-RU	инициативный	Negativterm	инициативный	0	3

EN-US	promote	Vorzugsterm	promote	-1	-1
RU-RU	способствовать	Vorzugsterm	способствовать	0	131
RU-RU	содействовать	Negativterm	содействовать	0	72
RU-RU	помогать	Negativterm	помогать	0	5

EN-US	union	Vorzugsterm	union	-1	-1
RU-RU	союз	Vorzugsterm	союз	0	2361
RU-RU	объединение	Negativterm	объединение	0	3

EN-US	equipment	Vorzugsterm	equipment	-1	-1
RU-RU	оборудование	Vorzugsterm	оборудование	1	120
RU-RU	аппаратура	Negativterm	аппаратура	1	2

EN-US	thought	Vorzugsterm	thought	-1	-1
RU-RU	мысль	Vorzugsterm	мысль	1	19
RU-RU	идея	Negativterm	идея	1	2

EN-US	engine	Vorzugsterm	engine	-1	-1
RU-RU	двигатель	Vorzugsterm	двигатель	0	149
RU-RU	мотор	Negativterm	мотор	0	22

EN-US	unknown	Vorzugsterm	unknown	-1	-1
RU-RU	неизвестный	Vorzugsterm	неизвестный	0	103
RU-RU	незнакомый	Negativterm	незнакомый	0	2

EN-US	subsequently	Vorzugsterm	subsequently	-1	-1
RU-RU	впоследствии	Vorzugsterm	впоследствии	0	53
RU-RU	затем	Negativterm	затем	0	11

EN-US	rich	Vorzugsterm	rich	-1	-1
RU-RU	богатый	Vorzugsterm	богатый	0	1120
RU-RU	богач	Negativterm	богач	0	16
RU-RU	богатей	Negativterm	богатей	0	2

EN-US	fraction	Vorzugsterm	fraction	-1	-1
RU-RU	часть	Vorzugsterm	часть	2	34
RU-RU	доля	Negativterm	доля	2	19

EN-US	apply	Vorzugsterm	apply	-1	-1
RU-RU	применять	Vorzugsterm	применять	0	116
RU-RU	использовать	Negativterm	использовать	0	17

EN-US	actually	Vorzugsterm	actually	-1	-1
RU-RU	фактически	Vorzugsterm	фактически	0	122
RU-RU	практически	Negativterm	практически	0	2

EN-US	omnipotent	Vorzugsterm	omnipotent	-1	-1
RU-RU	всемогущий	Vorzugsterm	всемогущий	0	8
RU-RU	всесильный	Negativterm	всесильный	0	3

EN-US	firm	Vorzugsterm	firm	-1	-1
RU-RU	фирма	Vorzugsterm	фирма	0	725
RU-RU	компания	Negativterm	компания	0	260
RU-RU	предприятие	Negativterm	предприятие	0	12

EN-US	illegal	Vorzugsterm	illegal	-1	-1
RU-RU	незаконный	Vorzugsterm	незаконный	0	122
RU-RU	противозаконный	Negativterm	противозаконный	0	4

EN-US	acquisition	Vorzugsterm	acquisition	-1	-1
RU-RU	приобретение	Vorzugsterm	приобретение	0	40
RU-RU	покупка	Negativterm	покупка	0	6

EN-US	energetic	Vorzugsterm	energetic	-1	-1
RU-RU	энергичный	Vorzugsterm	энергичный	0	24
RU-RU	активный	Negativterm	активный	0	2

EN-US	disaster	Vorzugsterm	disaster	-1	-1
RU-RU	катастрофа	Vorzugsterm	катастрофа	0	245
RU-RU	бедствие	Negativterm	бедствие	0	108
RU-RU	трагедия	Negativterm	трагедия	0	10
RU-RU	беда	Negativterm	беда	0	3
RU-RU	неудача	Negativterm	неудача	0	2
RU-RU	авария	Negativterm	авария	0	1
RU-RU	катаклизм	Negativterm	катаклизм	0	1

EN-US	reform	Vorzugsterm	reform	-1	-1
RU-RU	реформа	Vorzugsterm	реформа	0	2689
RU-RU	преобразование	Negativterm	преобразование	0	29

EN-US	chaos	Vorzugsterm	chaos	-1	-1
RU-RU	хаос	Vorzugsterm	хаос	0	240
RU-RU	беспорядок	Negativterm	беспорядок	0	4

EN-US	fragile	Vorzugsterm	fragile	-1	-1
RU-RU	хрупкий	Vorzugsterm	хрупкий	1	167
RU-RU	ломкий	Negativterm	ломкий	1	1

EN-US	self	Vorzugsterm	self	-1	-1
RU-RU	самооборона	Vorzugsterm	самооборона	0	53
RU-RU	самозащита	Negativterm	самозащита	0	20

EN-US	news	Vorzugsterm	news	-1	-1
RU-RU	новость	Vorzugsterm	новость	3	565
RU-RU	сообщение	Negativterm	сообщение	3	5
RU-RU	информация	Negativterm	информация	3	2

EN-US	attempt	Vorzugsterm	attempt	-1	-1
RU-RU	пытаться	Vorzugsterm	пытаться	0	219
RU-RU	стараться	Negativterm	стараться	0	15

EN-US	intend	Vorzugsterm	intend	-1	-1
RU-RU	намерен	Vorzugsterm	намерен	0	47
RU-RU	намереваться	Negativterm	намереваться	0	30
RU-RU	планировать	Negativterm	планировать	0	4
RU-RU	предполагать	Negativterm	предполагать	0	2

EN-US	method	Vorzugsterm	method	-1	-1
RU-RU	метод	Vorzugsterm	метод	0	256
RU-RU	способ	Negativterm	способ	0	25

EN-US	employ	Vorzugsterm	employ	-1	-1
RU-RU	использовать	Vorzugsterm	использовать	0	52
RU-RU	применять	Negativterm	применять	0	10
RU-RU	пользоваться	Negativterm	пользоваться	0	6

EN-US	impoverish	Vorzugsterm	impoverish	-1	-1
RU-RU	бедный	Vorzugsterm	бедный	0	35
RU-RU	нищий	Negativterm	нищий	0	4
RU-RU	неимущий	Negativterm	неимущий	0	1

EN-US	simple	Vorzugsterm	simple	-1	-1
RU-RU	простой	Vorzugsterm	простой	0	525
RU-RU	понятный	Negativterm	понятный	0	1

EN-US	indeed	Vorzugsterm	indeed	-1	-1
RU-RU	действительно	Vorzugsterm	действительно	2	1658
RU-RU	правда	Negativterm	правда	2	7
RU-RU	очевидно	Negativterm	очевидно	2	2
RU-RU	поистине	Negativterm	поистине	2	1

EN-US	breed	Vorzugsterm	breed	-1	-1
RU-RU	порождать	Vorzugsterm	порождать	0	23
RU-RU	вызывать	Negativterm	вызывать	0	5

EN-US	threat	Vorzugsterm	threat	-1	-1
RU-RU	угроза	Vorzugsterm	угроза	1	1556
RU-RU	опасность	Negativterm	опасность	1	25

EN-US	master	Vorzugsterm	master	-1	-1
